SubjectID	__id__	timestamp	x	y	z	Clase
1	0EeQUzPfv2CeP6uE7nGL	2024-11-22T12:05:21.575507	-2.292467356	4.610974312	9.345832825	0
2	1SVLPoo7AsgE8kowVlDF	2024-11-22T12:05:23.560039	-1.766576052	5.993117809	10.19212627	0
3	35zvP9ksOByuYDWFn1jZ	2024-11-22T12:05:24.949680	-1.419962764	3.500064135	8.626116753	0
4	428MafIB7FeKy2KD5D54	2024-11-22T12:05:27.531732	-1.117776155	3.877266169	4.379320145	0
5	46aZhkJ1ZALDx7Tr17pX	2024-11-22T12:05:22.966005	-1.472836256	5.369370461	9.979808807	0
6	6ZlP9hUH1ykAhItnf57Q	2024-11-22T12:05:27.729445	-2.580269575	4.654979706	8.767576218	0
7	7CNpQHrOjX9teP6rAPZv	2024-11-22T12:05:26.943059	-1.331156969	3.867248774	6.449213505	0
8	9hrTzIHcwRbobE6s27A2	2024-11-22T12:05:25.744555	-6.189576626	3.383916855	8.055932999	0
9	AvC6XQ3BLPEYTa8cAGmf	2024-11-22T12:05:24.155769	-3.484856367	2.456412554	11.46651173	0
10	CkC8b892hqYQyHuq1Idk	2024-11-22T12:05:21.179409	-0.993210614	5.599463463	7.507574558	0
11	FGEpcBQRA57CvqPreU2L	2024-11-22T12:05:26.742064	-1.557112217	6.034700394	8.424812317	0
12	HIx6zzMKKNWOhUq2OlOv	2024-11-22T12:05:27.927819	-1.048200727	1.382220626	11.56178188	0
13	IacF25fIsqx9dcSKlWjy	2024-11-22T12:05:26.142419	-2.167767525	5.283983707	7.646265984	0
14	Isu6ce9XjJzY3Vo4AOz2	2024-11-22T12:05:22.568070	-1.908475637	3.472760677	10.67057419	0
15	J0pzV5RuA51qxy3vOZWN	2024-11-22T12:05:21.975110	-0.056704272	3.752432346	10.39903355	0
16	JkL73BteidgHZTNxXsal	2024-11-22T12:05:27.331776	-0.374903262	4.626296997	9.295583725	0
17	K9qxKJphogzje5gLzDxG	2024-11-22T12:05:24.751809	-3.171005011	3.361918926	7.351204395	0
18	LAyekjlA7duFZoZ1XsiY	2024-11-22T12:05:27.133747	-1.773030877	5.076272488	9.340259552	0
19	LDQg5cRnpdCUuImXjC9e	2024-11-22T12:05:21.773815	-1.706165671	4.237679482	10.03245258	0
20	LdrXbVzHVjUFyCobfLi0	2024-11-22T12:05:28.722249	-0.866777658	4.210194111	7.566376686	0
21	MGszrvL4Cly3QoX9fe7X	2024-11-22T12:05:23.362705	-2.55018878	3.149696827	6.486572266	0
22	N7UtZLpKqewbieXxSQoV	2024-11-22T12:05:21.377014	-1.259005427	4.530748844	6.413367271	0
23	NUz2ejN6LsVbtzNIORN2	2024-11-22T12:05:28.921412	-1.23692131	4.827936649	9.355898857	0
24	NwMEr1Y7Yyl8dk7VffO3	2024-11-22T12:05:25.942615	-3.448474169	2.906014919	8.262935638	0
25	OETNlXZd3QJChH4sQbDp	2024-11-22T12:05:25.347826	-2.973703861	2.136422873	7.870871067	0
26	QMFhDaQHw4Qy9Fdan9vl	2024-11-22T12:05:22.176721	-1.603799105	2.976126671	6.833128452	0
27	Qyb5Wa8UudhRPBawNdDv	2024-11-22T12:05:20.977279	-0.877474904	4.642778397	7.845866203	0
28	VVBqWNl2YliZ2pmCiVS8	2024-11-22T12:05:26.340961	-2.007777691	3.682234287	7.346119404	0
29	bmzu3o9Kiap1pF8GQo7X	2024-11-22T12:05:22.369560	-0.520940006	5.443753719	8.351243973	0
30	cateRIRNqWYaG08jQ2aT	2024-11-22T12:05:23.759177	-2.822189093	3.030388832	6.013162136	0
31	crjLm5WERHJR1gr0g9oO	2024-11-22T12:05:28.126554	0.269491345	2.907719612	8.376516342	0
32	elARpvTo988IALxF0KBq	2024-11-22T12:05:25.149124	-3.788479567	2.163678408	12.16416264	0
33	hltcvzCNfdcjFuaM3Zvl	2024-11-22T12:05:24.354231	-2.404448986	4.106870174	5.854656219	0
34	jpMmGzs2qq1E0CiqsuCf	2024-11-22T12:05:25.546170	-3.705142021	3.458635092	8.545327187	0
35	kyRJOnBtlLO5h0KgMwlH	2024-11-22T12:05:23.958470	-2.184086561	4.377357483	8.520734787	0
36	mt8Nj6hQii0hhBEET9mP	2024-11-22T12:05:28.324858	-0.998075604	4.706167698	7.417045593	0
37	nUyE9gdkHVgwzsEKtgVw	2024-11-22T12:05:28.523712	-0.154215321	5.164331436	8.83957386	0
38	tIzM9rlZiYuyNaQtivTz	2024-11-22T12:05:22.767545	-0.344477743	3.558042288	5.369504929	0
39	utA38zRBvYi18vTRY3Cc	2024-11-22T12:05:23.163306	-0.540026546	2.643505096	7.869022846	0
